municipality_id,csduid,csd,total_businesses,labour_participation_rate,participation_rate_year,has_complete_data
300,4816822,Gregoire Lake 176A,147,0.47,2021.0,1
301,4810038,Paradise Valley,141,0.5,2021.0,1
302,4803006,Glenwood,139,0.51,2021.0,1
303,4810062,Chipman,130,0.47,2021.0,1
304,4817824,Utikoomak Lake 155,126,0.38,2021.0,1
305,4815802,"Stoney 142, 143, 144",125,0.0,2021.0,0
306,4810068,Improvement District No. 13 Elk Island,124,0.0,2021.0,0
307,4818816,Sturgeon Lake 154,116,0.46,2021.0,1
308,4811802,Pigeon Lake 138A,105,0.38,2021.0,1
309,4817817,Jean Baptiste Gambler 183,96,0.21,2021.0,1
310,4816852,Dog Head 218,95,0.43,2021.0,1
311,4811008,Ma-Me-O Beach,89,0.77,2021.0,1
312,4810003,Rosalind,73,0.5,2021.0,1
313,4808813,Montana 139,71,0.4,2021.0,1
314,4813061,Whispering Hills,66,0.58,2021.0,1
315,4811005,Poplar Bay,62,0.27,2021.0,1
316,4805036,Munson,59,0.74,2021.0,1
317,4813811,Alexis 133,55,0.3,2021.0,1
318,4807028,Rochon Sands,50,0.27,2021.0,1
319,4817835,Fox Lake 162,47,0.25,2021.0,1
320,4811805,Alexander 134,41,0.47,2021.0,1
321,4808025,Half Moon Bay,38,0.67,2021.0,1
322,4813055,South Baptiste,37,0.75,2021.0,1
323,4816821,Gregoire Lake 176,37,0.53,2021.0,1
324,4813051,Island Lake South,35,1.0,2021.0,1
325,4813047,Sunset Beach,33,0.5,2021.0,1
326,4816810,Fort Mckay 174,29,0.0,,0
327,4813057,West Baptiste,28,0.58,2021.0,1
328,4808811,Samson 137,27,0.42,2021.0,1
329,4817837,John d'Or Prairie 215,27,0.69,2021.0,1
330,4803008,Hill Spring,24,0.35,2021.0,1
331,4812806,Saddle Lake 125,24,0.0,2021.0,0
332,4813011,Sunset Point,22,0.6,2021.0,1
333,4819826,Duncan's 151A,22,0.63,2021.0,1
334,4811003,Argentia Beach,20,0.0,2021.0,0
335,4813006,West Cove,19,0.52,2021.0,1
336,4817849,Upper Hay River 212,17,0.26,2021.0,1
337,4813053,Bondiss,17,0.5,2021.0,1
338,4817833,Sawridge 150H,16,0.0,2021.0,0
339,4812804,Puskiakiwenin 122,11,0.49,2021.0,1
340,4817827,Utikoomak Lake 155A,10,0.16,2021.0,1
341,4817857,Woodland Cree 228,9,0.22,2021.0,1
342,4811044,Kapasiwin,8,0.0,2021.0,0
343,4813015,South View,7,0.64,2021.0,1
344,4817855,Desmarais,6,0.78,2021.0,1
345,4817859,Fort Vermilion 173B,6,0.5,2021.0,1
346,4815045,Ranchland No. 66,5,0.56,2021.0,1
347,4819054,Spirit River No. 133,5,0.68,2021.0,1
348,4807027,White Sands,5,0.41,2021.0,1
349,4816860,Thebathi 196,5,0.0,2021.0,0
350,4813016,Sandy Beach,5,0.47,2021.0,1
351,4813010,Silver Sands,4,0.36,2021.0,1
352,4813008,Ross Haven,4,0.43,2021.0,1
353,4811023,Golden Days,4,0.35,2021.0,1
354,4813003,Nakamun Park,3,0.0,2021.0,0
355,4811007,Norris Beach,3,0.35,2021.0,1
356,4808028,Gull Lake,3,0.45,2021.0,1
357,4812020,Horseshoe Bay,3,0.75,2021.0,1
358,4808042,Parkland Beach,3,0.36,2021.0,1
359,4811006,Crystal Springs,3,0.5,2021.0,1
360,4813013,Birch Cove,3,0.56,2021.0,1
361,4816051,Improvement District No. 24 Wood Buffalo,2,0.54,2021.0,1
362,4817832,Sawridge 150G,2,0.67,2021.0,1
363,4817836,Kapawe'no First Nation 150B,2,0.6,2021.0,1
364,4815030,Waiparous,2,0.0,2021.0,0
365,4812013,Pelican Narrows,2,0.62,2021.0,1
366,4811004,Grandview,1,0.33,2021.0,1
367,4811009,Silver Beach,1,0.6,2021.0,1
368,4819815,Horse Lakes 152B,1,0.52,2021.0,1
369,4818818,Sturgeon Lake 154A,1,0.0,2021.0,0
370,4811041,Point Alison,1,0.0,2021.0,0
371,4811042,Lakeview,1,0.0,2021.0,0
372,4811039,Betula Beach,1,0.0,2021.0,0
373,4813005,Val Quentin,1,0.59,2021.0,1
374,4813033,Larkspur,1,0.2,2021.0,1
375,4817838,Tall Cree 173,1,0.57,2021.0,1
376,4817823,Wabasca 166D,1,0.58,2021.0,1
377,4813017,Sunrise Beach,1,0.58,2021.0,1
378,4813045,Mewatha Beach,1,0.7,2021.0,1
379,4809005,Burnstick Lake,1,0.0,2021.0,0
380,4813009,Castle Island,0,0.0,2021.0,0
381,4812840,Heart Lake 167,0,0.43,2021.0,0
382,4812828,Beaver Lake 131,0,0.46,2021.0,0
383,4812815,Cold Lake 149B,0,0.39,2021.0,0
384,4817848,Bushe River 207,0,0.46,2021.0,0
385,4812813,Cold Lake 149A,0,0.6,2021.0,0
386,4817853,Little Buffalo,0,0.5,2021.0,0
387,4817854,Carcajou 187,0,0.0,2021.0,0
388,4808027,Sunbreaker Cove,0,0.36,2021.0,0
389,4817830,Kapawe'no First Nation 150D,0,0.0,2021.0,0
390,4811022,Itaska Beach,0,0.0,2021.0,0
391,4811020,Sundance Beach,0,0.0,2021.0,0
392,4803803,Blood 148A,0,0.0,2021.0,0
393,4814028,Improvement District No. 25 Willmore Wilderness,0,0.0,2021.0,0
394,4811807,Wabamun 133B,0,0.0,2021.0,0
395,4808812,Samson 137A,0,0.0,2021.0,0
396,4816861,Thabacha Náre 196A,0,0.0,2021.0,0
397,4816849,Old Fort 217,0,0.0,2021.0,0
398,4809809,Sunchild 202,0,0.51,2021.0,0
399,4812011,Bonnyville Beach,0,0.8,2021.0,0
400,4816850,Allison Bay 219,0,0.44,2021.0,0
401,4809806,O'Chiese 203,0,0.44,2021.0,0
402,4815027,Ghost Lake,0,0.53,2021.0,0
403,4817842,Boyer 164,0,0.22,2021.0,0
404,4817840,Tall Cree 173A,0,0.2,2021.0,0
405,4803805,"Peigan Timber Limit ""B""",0,0.0,,0
406,4817822,Wabasca 166C,0,0.6,2021.0,0
407,4817821,Wabasca 166B,0,0.6,2021.0,0
408,4817818,Wabasca 166,0,0.75,2021.0,0
409,4810805,Makaoo (Part) 120,0,0.36,2021.0,0
410,4817841,Beaver Ranch 163,0,0.0,2021.0,0
411,4815037,Improvement District No. 12 Jasper Park,0,0.0,2021.0,0
412,4817843,Child Lake 164A,0,0.25,2021.0,0
413,4813829,Alexander 134B,0,0.0,,0
414,4815815,Stoney 142B,0,0.0,,0
415,4813830,Alexis Whitecourt 232,0,0.0,,0
416,4817825,Clear Hills 152C,0,0.0,2021.0,0
417,4817826,Kapawe'no First Nation 231,0,0.0,,0
418,4817850,Woodland Cree 227,0,0.0,,0
419,4817865,Kapawe'no First Nation 229,0,0.0,,0
420,4817834,Peerless Trout 238,0,0.0,,0
